id,correct_answer,distractor_1,distractor_2,distractor_3,topic_match_count,context_snippet
1,spill the beans,hit the nail on the head,straight from the horse's mouth,keep something under wraps,2,
2,back to square one,cut the mustard,back to the drawing board,the early bird catches the worm,3,
3,break a leg,speak of the devil,down on your luck,touch wood / knock on wood,2,
4,kill two birds with one stone,pay through the nose,let sleeping dogs lie,curiosity killed the cat,0,
5,off the beaten track,a stone's throw away,better late than never,hit the road,2,in order to have an authentic experience instead of getting caught in a tourist trap.
6,hit the nail on the head,speak of the devil,keep something under wraps,actions speak louder than words,3,
7,back to square one,piece of cake,turning the tables,a blessing in disguise,3,
8,cold turkey,under the weather,back on your feet,out of sorts,3,
9,beat around the bush,break the ice,take with a grain of salt,straight from the horse's mouth,2,- I came here to tell you that I am in love you with you.
10,cold turkey,black eye,under the weather,fit as a fiddle,3,
11,off the beaten track,curiosity killed the cat,hit the road,a stone's throw away,2,
12,cold turkey,back on your feet,under the weather,out of sorts,3,
13,walk on very thin ice,throw caution to the wind,turning the tables,playing with fire,2,
14,play it by ear,look before you leap,up in the air,on the fence,3,
15,judge a book by its cover,"blood, sweat, and tears",curiosity killed the cat,money doesn't grow on trees,0,
16,cold turkey,back on your feet,black eye,fit as a fiddle,3,
17,beat around the bush,let the cat out of the bag,keep something under wraps,actions speak louder than words,3,- I came here to tell you that I am in love you with you.
18,hit the nail on the head,speak of the devil,straight from the horse's mouth,keep something under wraps,2,
19,spill the beans,make a long story short,keep something under wraps,break the ice,3,!
20,break a leg,touch wood / knock on wood,down on your luck,the ball is in your court,2,
21,bring home the bacon,working your fingers to the bone,climb the ladder,burn the midnight oil,3,
22,turn a blind eye,wash your hands of something,the ball is in your court,step up to the plate,3,
23,bite off more than you can chew,turn a blind eye,bite the bullet,call it a day,1,
24,a stone's throw away,off the beaten track,playing with fire,hit the road,2,"from my flat, you can see it from my living room window."
25,cold turkey,burn out,under the weather,out of sorts,3,
26,bite the bullet,better late than never,bite off more than you can chew,"jack of all trades, master of none",1,
27,cold turkey,back on your feet,burn out,black eye,3,
28,cut the mustard,back to square one,"no pain, no gain",the early bird catches the worm,3,
29,off the beaten track,barking up the wrong tree,a stone's throw away,hit the road,2,in order to have an authentic experience instead of getting caught in a tourist trap.
30,beat around the bush,break the ice,spill the beans,let the cat out of the bag,3,
31,bite off more than you can chew,every cloud has a silver lining,bite the bullet,playing with fire,1,
32,bite off more than you can chew,showing one's true colors,the early bird catches the worm,bite the bullet,1,
33,sit tight,back on your feet,hit the ground running,playing with fire,0,
34,bring home the bacon,"blood, sweat, and tears","jack of all trades, master of none",burn the midnight oil,3,
35,back to square one,back to the drawing board,piece of cake,turning the tables,3,
36,bite the bullet,cut the mustard,cut corners,bite off more than you can chew,1,
